Date,Open,High,Low,Close,Adj Close,Volume
6/14/2021,344.829987,344.869995,342.470001,344.299988,338.40036,2527000
6/15/2021,344.51001,344.529999,342.369995,343.410004,337.525604,2138500
6/16/2021,343.410004,343.640015,339.48999,340.76001,334.921082,4032000
6/17/2021,340.559998,341.279999,336.619995,338.649994,332.847229,5169100
6/18/2021,334.350006,335.25,332.679993,332.959991,327.731812,7126600
6/21/2021,335.26001,339.089996,334.410004,338.779999,333.460449,5435700
6/22/2021,338.730011,340.410004,337.450012,339.450012,334.119934,4042100
6/23/2021,339.589996,340.160004,338.679993,338.779999,333.460449,3082700
6/24/2021,340.670013,342.320007,340.369995,341.980011,336.610199,3704700
6/25/2021,343.690002,344.980011,343.089996,344.450012,339.041412,3638000
6/28/2021,344.329987,344.420013,341.820007,342.799988,337.417267,3606300
6/29/2021,343.980011,344.730011,342.609985,342.859985,337.476318,2375800
6/30/2021,342.380005,345.51001,342.350006,344.950012,339.533539,3778900
7/1/2021,345.779999,346.399994,344.920013,346.359985,340.921448,3606900
7/2/2021,347.040009,348.290009,346.179993,347.940002,342.476563,3013500
7/6/2021,347.75,348.109985,343.600006,345.820007,340.389893,3910600
7/7/2021,345.649994,347.140015,344.429993,346.920013,341.472595,3347000
7/8/2021,342.559998,345,341.529999,344.380005,338.972504,6379900
7/9/2021,346.570007,349.070007,345.839996,348.730011,343.254211,5063100
7/12/2021,348.01001,350.290009,347.369995,350.029999,344.533752,3999800
7/13/2021,349.529999,350.25,348.850006,349,343.519989,3310200
7/14/2021,350.190002,350.690002,348.359985,349.410004,343.923492,3933300
7/15/2021,347.899994,350,347.640015,349.940002,344.44519,5082600
7/16/2021,350.720001,350.73999,346.339996,346.73999,341.497406,5710400
7/19/2021,341.790009,350.029999,337.380005,339.880005,334.74115,9715300
7/20/2021,340.290009,346.119995,339.75,345.079987,339.862518,5802200
7/21/2021,346.970001,348.149994,346.369995,347.98999,342.728546,3056800
7/22/2021,347.769989,348.809998,346.679993,348.26001,342.994476,2429300
7/23/2021,350,350.98999,349.209991,350.570007,345.269531,4142300
7/26/2021,350,351.450012,349.48999,351.410004,346.096863,2466600
7/27/2021,350.019989,350.679993,348.730011,350.619995,345.318726,3902600
7/28/2021,351.019989,351.230011,348.709991,349.359985,344.077881,3697700
7/29/2021,350.950012,351.709991,350.380005,350.820007,345.515808,2425700
7/30/2021,349.880005,351.01001,348.670013,349.480011,344.196045,3576700
8/2/2021,350.450012,351.910004,348.059998,348.350006,343.08316,2827100
8/3/2021,349.089996,351.190002,347.109985,351.089996,345.781708,3819300
